                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.57311,                0.33356,                  0.826,                 0.9987,                0.97699,                0.97932,                0.85842,                0.55349,                0.32478,                0.75934,             0.00051177,             0.00051177,             0.00051177
                     37,                0.58062,                 0.3507,                0.82079,                0.99913,                0.95833,                 0.9764,                0.85484,                0.53877,                0.33256,                 0.7567,             0.00047876,             0.00047876,             0.00047876
                     38,                0.55121,                0.32854,                0.81927,                0.99873,                0.95276,                 0.9669,                0.86228,                0.53718,                0.33943,                0.75737,             0.00044576,             0.00044576,             0.00044576
                     39,                0.56023,                0.32051,                0.82011,                0.99935,                0.95155,                0.96823,                0.83547,                0.53426,                0.33113,                0.75874,             0.00041275,             0.00041275,             0.00041275
                     40,                0.55533,                0.32856,                0.82027,                0.95535,                0.95833,                0.96984,                0.84503,                0.55564,                0.33662,                0.76011,             0.00037974,             0.00037974,             0.00037974
                     41,                0.54878,                0.32807,                0.81419,                0.97642,                0.95833,                0.97582,                0.84681,                0.57256,                0.33588,                0.76412,             0.00034674,             0.00034674,             0.00034674
                     42,                0.54389,                0.32484,                 0.8255,                0.97705,                0.97586,                0.97927,                0.85103,                0.55809,                0.33747,                0.76279,             0.00031373,             0.00031373,             0.00031373
                     43,                0.54607,                0.31942,                0.82101,                0.99286,                0.95833,                0.97016,                0.85372,                0.52754,                0.32866,                0.75647,             0.00028072,             0.00028072,             0.00028072
                     44,                0.52825,                0.31439,                0.81854,                0.99333,                0.95833,                0.97933,                0.86037,                0.52712,                0.32687,                0.75755,             0.00024772,             0.00024772,             0.00024772
                     45,                0.50472,                0.29503,                0.80326,                0.99067,                0.95833,                0.98065,                0.86216,                 0.5188,                0.31692,                  0.758,             0.00021471,             0.00021471,             0.00021471
                     46,                0.51394,                0.30218,                0.81575,                0.99182,                0.95833,                0.98336,                0.87148,                0.51532,                0.30838,                 0.7587,              0.0001817,              0.0001817,              0.0001817
                     47,                0.51114,                0.29901,                0.82781,                0.99635,                0.95833,                 0.9742,                0.86381,                0.50989,                0.30872,                0.75563,              0.0001487,              0.0001487,              0.0001487
                     48,                0.49083,                0.28619,                 0.8202,                0.99725,                0.95833,                0.96566,                0.85466,                 0.5174,                0.30496,                0.75503,             0.00011569,             0.00011569,             0.00011569
                     49,                0.47046,                0.27797,                0.81416,                0.99718,                0.95833,                0.96715,                 0.8532,                0.51485,                0.30393,                 0.7545,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     50,                0.48478,                0.27797,                0.81908,                0.99687,                0.95833,                0.97025,                0.85664,                0.51543,                0.30999,                 0.7545,             4.9677e-05,             4.9677e-05,             4.9677e-05
